,Date,itx,Close,PositionCost,PositionType,AssetsFund,AssetsIncrease,IdleFund,TotalFund,TotalInterest
1192,2017-01-19,1193.0,10.881169319152832,10.710123062133789,-1,1.1776251146187848,-0.015970522096406727,0.0,1.1776251146187848,0.17762511461878483
1193,2017-01-20,1194.0,10.92064094543457,10.92064094543457,1,1.17321459752286,0.0,0.0,1.17321459752286,0.17321459752286006
1194,2017-01-23,1195.0,10.900904655456543,10.92064094543457,1,1.171094309563677,-0.0018072464864141698,0.0,1.171094309563677,0.171094309563677
1195,2017-01-24,1196.0,10.979849815368652,10.92064094543457,1,1.179575461400409,0.0054217394592425095,0.0,1.179575461400409,0.17957546140040903
1196,2017-01-25,1197.0,10.979849815368652,10.92064094543457,1,1.179575461400409,0.0054217394592425095,0.0,1.179575461400409,0.17957546140040903
1197,2017-01-26,1198.0,11.012742042541504,10.92064094543457,1,1.1831091039088517,0.008433671390454141,0.0,1.1831091039088517,0.1831091039088517
1198,2017-02-03,1199.0,10.940376281738281,10.92064094543457,1,1.1753347830279257,0.0018071591587269788,0.0,1.1753347830279257,0.1753347830279257
1199,2017-02-06,1200.0,10.960112571716309,10.92064094543457,1,1.1774550709871086,0.0036144056451411486,0.0,1.1774550709871086,0.17745507098710855
1200,2017-02-07,1201.0,10.966691970825195,10.92064094543457,1,1.1781619019429146,0.004216879359070665,0.0,1.1781619019429146,0.1781619019429146
1201,2017-02-08,1202.0,10.966691970825195,10.92064094543457,1,1.1781619019429146,0.004216879359070665,0.0,1.1781619019429146,0.1781619019429146
1202,2017-02-09,1203.0,10.999585151672363,10.92064094543457,1,1.1816956469054745,0.007228898617969488,0.0,1.1816956469054745,0.18169564690547446
1203,2017-02-10,1204.0,11.039058685302734,10.92064094543457,1,1.185936325277958,0.010843478918485019,0.0,1.185936325277958,0.185936325277958
1204,2017-02-13,1205.0,11.08510971069336,10.92064094543457,1,1.1908836296980125,0.015060358277555684,0.0,1.1908836296980125,0.19088362969801254
1205,2017-02-14,1206.0,11.01932144165039,10.92064094543457,1,1.1838159348646577,0.009036145104383659,0.0,1.1838159348646577,0.18381593486465775
